,e1,px1,py1,pz1,e2,px2,py2,pz2
0,884.80519965,31.188352072,8.3476624825,884.20345767,419.01486718,-31.188352072,-8.3476624825,417.74271046
1,432.25722111,-3.0658459556,-20.037100105,431.7561006,48.990128061,3.0658459556,20.037100105,44.351525964
2,29.378030507,23.089511567,-17.516893165,1.0057762653,38.125208679,-23.089511567,17.516893165,-24.32024766
3,50.486271308,34.269061622,-3.2247621302,-36.633398905,44.585953878,-34.269061622,3.2247621302,27.947264767
4,235.33788844,34.836680622,27.250222646,231.09665247,188.04901489,-34.836680622,-27.250222646,182.71336308
5,258.93622701,-30.844882859,-44.124885091,253.23401702,121.42992729,30.844882859,44.124885091,108.7415512
6,1180.6476967,29.689509105,8.0805393822,1180.23732,188.7024444,-29.689509105,-8.0805393822,186.11759845
7,598.64693202,-2.4779983173,-5.8600298173,598.59466987,12.213672207,2.4779983173,5.8600298173,9.3060928245
8,200.94729288,-0.52048691497,32.7930974,198.19703927,345.34094613,0.52048691497,-32.7930974,343.74790317
9,440.46107505,-15.33503688,16.836492794,-439.84683447,1984.8067826,15.33503688,-16.836492794,-1984.670563
10,319.31418555,18.799582147,-20.416744127,318.07104767,112.62276947,-18.799582147,20.416744127,109.04829422
11,950.12889386,-0.48071237599,24.801498038,-949.79338783,192.78462602,0.48071237599,-24.801498038,-191.12424398
12,27.479382088,5.7418886672,-7.7805652952,-25.288731842,43.284950836,-5.7418886672,7.7805652952,41.928397144
13,83.123619641,17.6136838,7.0443724832,-80.793447144,793.61160336,-17.6136838,-7.0443724832,-793.37092331
14,30.770157691,28.920745151,9.3879077434,-0.41266504521,41.639204478,-28.920745151,-9.3879077434,28.056924949
15,115.57493274,-11.730153601,-27.76025729,-111.47756137,402.69453988,11.730153601,27.76025729,-401.53776168
16,1517.9818721,-5.8407762923,31.671989831,-1517.6329083,300.6268359,5.8407762923,-31.671989831,-298.8597913
17,2667.3451844,-7.7944333336,-6.5873799272,-2667.3215209,98.958246838,7.7944333336,6.5873799272,-98.318349518
18,47.469004154,-28.798743138,-36.559127144,8.0795403039,52.494592938,28.798743138,36.559127144,-23.825509521
19,94.31617409,-29.59762075,1.0212576873,89.422528335,165.43539685,29.59762075,-1.0212576873,162.69517021
20,178.15826524,-2.6953666853,18.799956753,-177.08069939,1698.0319225,2.6953666853,-18.799956753,-1697.919202
21,761.37327521,-24.934104609,-17.632674126,760.74605056,315.3251399,24.934104609,17.632674126,313.80763707
22,334.31324996,-7.99940479,-26.704971875,333.11576531,87.267742824,7.99940479,26.704971875,82.561631148
23,70.946870292,7.393713955,38.660240619,58.839503682,44.106533458,-7.393713955,-38.660240619,-19.339469561
24,32.329677428,1.0772410047,21.214612584,23.914384946,30.744098177,-1.0772410047,-21.214612584,-21.723014004
25,2364.658323,3.8208929794,-16.953349443,2364.5897909,89.207665504,-3.8208929794,16.953349443,87.372205559
26,393.05329906,-26.740409723,17.208853132,391.73666124,1268.6191773,26.740409723,-17.208853132,1268.2118644
27,38.164662998,-5.3454405394,-1.7253025366,37.455321362,43.161436967,5.3454405394,1.7253025366,-42.535505612
28,200.75009818,19.796119559,-2.1327484758,199.70497478,32.421837363,-19.796119559,2.1327484758,25.152546041
29,66.4253654,20.142636886,47.056901288,-42.07328593,146.4204552,-20.142636886,-47.056901288,-137.10135638
30,31.960059213,-29.851868236,-2.9443562074,-9.97758058,34.069417785,29.851868236,2.9443562074,-15.454188998
31,31.900339893,-24.718418796,-18.352609111,-6.9081977628,31.723420725,24.718418796,18.352609111,-6.0387857684
32,22.971108236,1.7056251426,10.340350603,19.893461386,608.40989722,-1.7056251426,-10.340350603,608.30147216
33,1245.5670014,9.0818684214,35.071289765,-1245.0311599,581.33453776,-9.0818684214,-35.071289765,-580.18555574
34,344.56647689,-5.8696631773,-14.041016695,344.19814628,25.944183633,5.8696631773,14.041016695,20.479442588
35,493.29087435,-37.277641751,-8.690990329,-491.78109036,380.78233106,37.277641751,8.690990329,-378.82441548
36,225.865524,-15.053496303,-32.239240425,222.99589359,1842.2937683,15.053496303,32.239240425,1841.9441529
37,205.39709057,31.261271713,-6.5906618866,202.8427245,143.28986532,-31.261271713,6.5906618866,139.60369468
38,17.326455439,-14.79594732,-3.9493090293,6.6029507927,173.30892655,14.79594732,3.9493090293,172.56702154
39,171.99529378,25.572389576,-2.9585536833,-169.99291437,41.254719623,-25.572389576,2.9585536833,-31.892973249
40,490.99667602,-3.0226596637,-32.608301472,489.88081007,1984.2791349,3.0226596637,32.608301472,1984.0033159
41,39.204307619,9.6942174174,14.887183464,-34.630646154,469.09602597,-9.6942174174,-14.887183464,-468.73594432
42,874.65659074,-23.50668797,-1.0182129768,-874.32743328,137.62479208,23.50668797,1.0182129768,-135.51712902
43,47.624242681,10.102011609,-13.560070826,44.272478264,980.14478385,-10.102011609,13.560070826,979.98764337
44,1601.4573362,-9.1611638524,9.8079752778,-1601.3942008,88.520004324,9.1611638524,-9.8079752778,-87.370348879
45,56.934319523,29.289178218,2.3123134296,-48.540951633,131.2876291,-29.289178218,-2.3123134296,-127.87161061
46,28.875306032,-3.0163027044,-17.017474144,-22.649520749,589.49050652,3.0163027044,17.017474144,-589.21835916
47,1097.2007442,11.71147882,21.155538391,1096.924185,297.85618844,-11.71147882,-21.155538391,296.83581902
48,37.874956159,-11.633144203,-6.4306592956,35.153077831,32.16486668,11.633144203,6.4306592956,-28.910296185
49,34.401077962,19.319264776,-18.984105006,20.681245865,27.933924459,-19.319264776,18.984105006,-4.9582155356
50,38.427359264,-1.574660555,30.171706793,23.27574904,75.316140755,1.574660555,-30.171706793,68.830368382
51,143.48483369,-21.747258311,8.7877330123,-141.4766412,1370.8544065,21.747258311,-8.7877330123,-1370.6456676
52,126.63730465,28.496252403,5.8237637175,-123.16234937,191.22798075,-28.496252403,-5.8237637175,-188.9446956
