,e1,px1,py1,pz1,e2,px2,py2,pz2
0,744.49841659,-17.950328226,-12.954194376,-744.15440391,55.940919814,17.950328226,12.954194376,-51.159271635
1,110.37484038,12.695232253,13.53521633,108.70209007,1975.3341757,-12.695232253,-13.53521633,1975.2414143
2,1286.1566083,-4.5874860053,25.1738721,1285.8934491,128.19804331,4.5874860053,-25.1738721,125.53039251
3,53.720219641,-7.0808570874,13.251724371,51.36171008,37.78273094,7.0808570874,-13.251724371,-34.346732325
4,1054.6013398,12.969102579,20.525328007,1054.3113436,111.39233542,-12.969102579,-20.525328007,108.61250241
5,60.701570341,13.734554085,-40.438640785,-42.879703794,44.015605193,-13.734554085,40.438640785,-9.5583396088
6,284.44635274,-14.642917854,-1.2785036249,284.02744228,15.433057163,14.642917854,1.2785036249,-0.19909447195
7,97.496626562,-13.412048039,32.821451865,-90.699346502,38.652496041,13.412048039,-32.821451865,-14.655876471
8,22.788487691,0.97847212521,18.137772432,12.93402392,428.94685648,-0.97847212521,-18.137772432,428.53632225
9,1007.3480227,43.113641818,-4.1169037716,-1006.4055911,438.65509663,-43.113641818,4.1169037716,-436.48650471
10,481.18089831,-10.916796104,-11.085208218,-480.9063408,20.637802918,10.916796104,11.085208218,-12.718908399
11,38.748346461,28.4243163,-25.175987306,6.129621479,57.019901378,-28.4243163,25.175987306,-42.277737158
12,20.837783393,5.2326276661,-14.317931192,13.406702458,114.72393507,-5.2326276661,14.317931192,-113.60945265
13,1705.6987678,10.82233875,2.118275859,1705.6566437,32.816111824,-10.82233875,-2.118275859,30.548274691
14,1208.6075445,-19.559762841,14.240273595,1208.3562128,101.9944223,19.559762841,-14.240273595,98.971725591
15,1373.845681,-21.587039802,-6.5166615313,1373.6525754,99.230630829,21.587039802,6.5166615313,96.520261758
16,47.108576071,41.114042658,-21.949184064,-4.9996754597,50.876453041,-41.114042658,21.949184064,-19.854276348
17,37.75500905,-36.116385048,-7.2809833064,6.7782535781,62.651578773,36.116385048,7.2809833064,-50.455171548
18,48.823259926,31.327639976,-31.69040542,19.388602004,44.853544299,-31.327639976,31.69040542,-2.0118682883
19,772.73701486,-19.724221674,-6.4331596972,772.4441557,49.803977516,19.724221674,6.4331596972,45.032385147
20,39.669239219,-24.336065189,23.41624546,20.272984977,89.008266343,24.336065189,-23.41624546,-82.218105409
21,110.80536674,-35.780997372,-23.094181904,-102.18668351,63.254075343,35.780997372,23.094181904,-46.533504454
22,43.762215618,-34.538744024,3.0671825596,-26.28134449,164.87092548,34.538744024,-3.0671825596,-161.11486469
23,40.637501896,-38.395967695,12.421673635,-0.87649827187,63.372308711,38.395967695,-12.421673635,48.635493215
24,1691.2328355,-28.274015334,27.431717458,-1690.7674278,550.47172004,28.274015334,-27.431717458,-549.04016747
25,297.83668786,-7.2084704942,19.15679921,-297.09536791,21.817564123,7.2084704942,-19.15679921,-5.9136369023
26,432.503688,-26.318426624,-28.28383503,430.74901651,160.91100763,26.318426624,28.28383503,156.13336438
27,275.33808635,10.569516068,30.106998977,273.44254559,73.9493793,-10.569516068,-30.106998977,66.545282639
28,127.51202355,-10.664908867,9.3290654026,126.63512312,19.660710744,10.664908867,-9.3290654026,-12.793818997
29,947.93493747,-15.382255887,17.032672772,-947.64541361,70.828932089,15.382255887,-17.032672772,-66.842515534
30,18.266964353,12.128907347,-10.591550575,-7.231918808,150.97801502,-12.128907347,10.591550575,150.04325937
31,953.32407644,-23.334589888,-28.946313475,-952.58716797,252.43832347,23.334589888,28.946313475,-249.64099224
32,339.61140096,-28.390715961,28.329163241,-337.20207505,1256.7647502,28.390715961,-28.329163241,-1256.1158279
33,673.3629014,35.954782425,32.720699906,-671.58924678,458.6523733,-35.954782425,-32.720699906,-456.04442651
34,389.50885335,43.290078728,7.1674688473,-387.00084407,241.58489272,-43.290078728,-7.1674688473,-237.52003466
